mG log10(tau[s]) Gtot BGnu2b BZnu BWele BWmuo BWtau BGnu3b
0.0283132 36.1194 2.95159e-24 0.9927801625564526 1.1831013114965154e-05 2.601543574818996e-07 0.0 0.0 0.007335978235459532
33.2242 24.6798 8.12152e-13 0.000686780307134625 0.41783311498340214 0.010481166087136399 0.38037460967897635 0.21347481752184322 3.811109250485131e-05
1.12722 31.5811 1.01941e-19 0.7805465906749983 0.14094034784826517 0.002959260748864539 0.06236470115066558 0.0 0.020206001510677744
0.117216 34.5452 1.10735e-22 0.9865896058156861 0.0007464288616968439 2.2037838081907258e-05 0.0005728514019957557 0.0 0.013367408678376304
1.19811 32.7612 6.73391e-21 0.0035953257468543534 0.6527173662849667 0.014885408328890643 0.4506178431253165 0.0 9.449576843171352e-05
0.477201 32.9338 4.52504e-21 0.9336050068065697 0.03634686102222301 0.0007384531407457171 0.025060772943443593 0.0 0.019093996959142902
0.7273 31.5578 1.07555e-19 0.9730556459485844 0.005180177583561899 0.0001118785737529636 0.0034128306447863883 0.0 0.022448886616149875
0.408844 33.3737 1.64356e-21 0.9591070602837743 0.018256954416023752 0.00038061768356494437 0.012193591958918447 0.0 0.018734332789797758
0.865665 31.0575 3.40335e-19 0.9751891518650742 0.002333089455977199 5.222236913629218e-05 0.0015229641382755227 0.0 0.023582646510056267
0.0652132 35.6105 9.52753e-24 0.9895555301321539 0.0005777415552614371 1.286293509440537e-05 0.0 0.0 0.010870918275775568
10.1579 27.3771 1.63046e-15 0.03681697189750132 0.40675576217754494 0.011104534916526623 0.3510567569888252 0.220997755234719 0.0015798792978668596
5.33028 28.5672 1.05263e-16 0.08421544132316199 0.3473566210349316 0.011405622108433164 0.2586217379326069 0.32664278996418494 0.0030971091456637187
1.84444 31.4794 1.28848e-19 0.23367611449149384 0.3299290637029678 0.01337568297528871 0.3787835278778095 0.10358406804917422 0.0067997019744194705
7.8361 27.9112 4.76663e-16 0.03667391847070152 0.3654951191932245 0.011864587769556269 0.3529999181811888 0.26139222049959826 0.0014799197756066654
2.88099 30.1229 2.92802e-18 0.0236070450338454 0.4150688861414881 0.012514019712980103 0.4647782460502319 0.14228523029214282 0.000756197020512155
40.1772 24.1564 2.71015e-12 0.0010993598140324335 0.41384425216316434 0.01222662952235116 0.3628057487592938 0.23286312565725142 6.328321310628563e-05
16.7307 26.4827 1.27862e-14 0.014276563795341854 0.41412147471492705 0.01192402746711298 0.2966643725266303 0.27937307409550927 0.0006866058719557023
0.0969967 35.8643 5.31112e-24 0.9851236650649956 0.005355254635557095 0.0001231941662022323 0.0 0.0 0.012530897437828556
30.9563 24.7898 6.30367e-13 0.0007687378939570124 0.4176741485515581 0.012137469125128695 0.3685932163327078 0.22386006881705423 4.206771610823537e-05
4.83818 28.7602 6.74873e-17 0.0700173217775789 0.35250335989141657 0.010640876135213587 0.3730035132536047 0.22206252139291388 0.0025163549290014562
25.5167 25.2254 2.31204e-13 0.00016856542274355113 0.41898237054722237 0.011098769917475477 0.37191960346706804 0.22043303749070087 8.870953789726821e-06
0.885913 32.6479 8.74087e-21 0.6473829264135035 0.20824471705905706 0.004697484346523858 0.10913707674407695 0.0 0.015751521301655327
43.614 24.0046 3.84454e-12 0.0008236902204164868 0.4125435032539653 0.011142971590879533 0.24492917228068897 0.3529941163312125 4.8152964984107326e-05
26.815 25.6585 8.53066e-14 0.01671359543106864 0.42264490672468485 0.011822063005675997 0.26514126691252493 0.30930666560383374 0.0008885584468259197
31.2439 24.7683 6.62461e-13 0.002850114950163104 0.4170283231767606 0.011719437068748199 0.2354598987713994 0.35689044336194886 0.0001562537266344736
3.14973 30.1212 2.93916e-18 0.18552103322037589 0.3092019488561358 0.0101154751697764 0.2195375549476721 0.2801419453177098 0.006056322214510268
20.5594 26.2026 2.43669e-14 0.048536334125391406 0.4079644928160743 0.010509051212915881 0.32524572268117813 0.23493632755910682 0.002441184557740213
0.0772515 34.428 1.45039e-22 0.9886099600797027 3.0091906314853248e-05 7.049276401519592e-07 0.0 0.0 0.011591365081116115
58.9631 23.3798 1.62058e-11 2.3220081699144752e-06 0.40058991225363755 0.012786533216502733 0.36593565266756345 0.24026089424773844 1.4340236211726665e-07
0.362816 32.8152 5.9467e-21 0.977772546118015 0.004276203608724166 9.06538079943498e-05 0.0029918778482183397 0.0 0.018428035717288578
1.54106 30.7752 6.51967e-19 0.9122793024800334 0.037955908811335544 0.0013195989981087998 0.029701963442934996 0.0 0.02547398871415271
63.3216 22.9731 4.13333e-11 8.311288960716904e-05 0.38814708721539287 0.012734526398811612 0.27459699564273843 0.34363092228300185 5.197794514350415e-06
27.629 25.0029 3.85962e-13 0.000622128603334007 0.4180152450241216 0.010549484146107648 0.37800871588394713 0.21585078323772808 3.327659199610324e-05
3.70064 29.4647 1.33273e-17 0.308823242517239 0.26186849549421115 0.008636257906702784 0.18162718630180158 0.2592355540882249 0.010440299235404021
33.5836 24.8455 5.54529e-13 0.0006329497645749816 0.420111481996433 0.010801527061704617 0.3569064918155768 0.23203114715371065 3.519797882527334e-05
0.247921 33.4963 1.23909e-21 0.9816801039472515 0.0023737985134251747 4.903227368472023e-05 0.0015730253653891161 0.0 0.016552066435852116
65.9 22.8377 5.64563e-11 0.0002682534987237917 0.38196091490232265 0.011695647784215403 0.25973894853187335 0.3650930011353914 1.6893579635930798e-05
8.14078 27.9659 4.20252e-16 2.1891507952371435e-06 0.3777804745723994 0.012979426629736444 0.31048513748893525 0.32268258092763386 8.914912956987713e-08
